epoch;accuracy;loss
164;0.921;0.43549740958213806
165;0.922;0.42577838730812073
166;0.9292;0.40998770570755005
167;0.9316;0.3973899652957916
168;0.9398;0.3859050974845886
169;0.9412;0.37969622445106505
170;0.9426;0.37263295793533324
171;0.9448;0.3658784625530243
172;0.9486;0.35227432203292847
173;0.9554;0.3419256594181061
174;0.9592;0.32973305344581605
175;0.9578;0.32205026483535765
176;0.9648;0.31134289598464965
177;0.9634;0.3039972422122955
178;0.966;0.29861126470565796
179;0.9676;0.28945280122756956
180;0.9696;0.2811526012420654
181;0.9708;0.2743548436164856
182;0.975;0.2672652492523193
183;0.9758;0.2587818069458008
184;0.9774;0.249655420422554
185;0.9776;0.2417937182188034
186;0.9806;0.2346239891052246
187;0.982;0.22866398179531097
188;0.9826;0.22138075983524322
189;0.9846;0.21454981184005736
190;0.985;0.20909152841567993
191;0.9844;0.2078714623451233
192;0.9866;0.20035057699680328
193;0.9888;0.1933191533088684
194;0.9896;0.18837415981292724
195;0.9888;0.18229863214492797
196;0.989;0.17693966341018677
197;0.9906;0.1728428385257721
198;0.9896;0.16824189984798432
199;0.992;0.1638951336145401
