epoch;accuracy;loss
0;0.1758;2.5362725601196288
1;0.2006;2.3875519580841065
2;0.224;2.2083547191619872
3;0.2464;2.0557122077941896
4;0.2706;1.9481364479064942
5;0.282;1.8943360528945923
6;0.2802;1.8723608903884887
7;0.2876;1.859017011642456
8;0.291;1.8526111106872558
9;0.295;1.8500467329025267
10;0.2976;1.8477896251678467
11;0.2954;1.8456562337875366
12;0.3042;1.8435178813934325
13;0.3008;1.8393842964172362
14;0.3062;1.8350626192092896
15;0.3118;1.8337318897247314
16;0.3096;1.830773970603943
17;0.3066;1.8308941230773925
18;0.3122;1.826996259689331
19;0.3154;1.8254213647842408
20;0.316;1.822620798110962
21;0.3136;1.8227340965270995
22;0.3174;1.819713258743286
23;0.3202;1.8156105461120606
24;0.319;1.8170769939422606
25;0.32;1.8138704891204833
26;0.3214;1.8112455644607544
27;0.3212;1.8073939399719239
28;0.3252;1.8071041774749756
29;0.3246;1.8036405534744262
30;0.3256;1.7999966793060302
31;0.3288;1.7976467838287353
32;0.3304;1.7952119541168212
33;0.3248;1.7934666996002198
34;0.32;1.7953566160202026
35;0.3214;1.7938349485397338
36;0.3234;1.7890361652374267
37;0.3238;1.7862506532669067
38;0.3312;1.7813793926239014
39;0.329;1.7806936197280885
40;0.3324;1.7795991020202637
41;0.3258;1.780954086303711
42;0.3348;1.7768266792297362
43;0.3334;1.7759117984771728
44;0.3336;1.7718044996261597
45;0.3442;1.7659600944519043
46;0.3368;1.766994990348816
47;0.3418;1.763396551132202
48;0.3458;1.7613747138977052
49;0.3436;1.7604509143829346
50;0.3524;1.7559433116912841
51;0.34;1.751427297592163
52;0.3502;1.748634756088257
53;0.3502;1.7450909757614135
54;0.3532;1.7430725479125977
55;0.3534;1.7414946479797364
56;0.356;1.7389528980255127
57;0.3572;1.736713168144226
58;0.3594;1.7320590467453003
59;0.364;1.7272425098419188
60;0.364;1.7253641176223755
61;0.3692;1.7173657550811767
62;0.3728;1.7186070070266724
63;0.3642;1.7130828828811646
64;0.3732;1.7077820529937744
65;0.3736;1.7049588174819947
66;0.378;1.7020251007080078
67;0.3736;1.7024927320480348
68;0.3822;1.6995671367645264
69;0.3824;1.6910054321289063
70;0.3794;1.689917095184326
71;0.3864;1.6869610414505005
72;0.3938;1.675417254447937
73;0.4002;1.6696208667755128
74;0.4016;1.6629728784561157
75;0.3982;1.658478657722473
76;0.4016;1.6531217632293702
77;0.4074;1.6475810890197753
78;0.411;1.6429803972244263
79;0.415;1.6339334716796876
80;0.4198;1.6259408168792724
81;0.4198;1.6190573291778565
82;0.4258;1.610651922225952
83;0.4278;1.6074481449127198
84;0.4352;1.5950351886749268
85;0.4284;1.5880295276641845
86;0.4344;1.5820447187423705
87;0.4476;1.5631153755187988
88;0.4514;1.5566675367355347
89;0.4524;1.5515011587142944
90;0.4582;1.5364269905090333
91;0.4586;1.5288536949157714
92;0.462;1.5142987012863158
93;0.4746;1.5061107473373414
94;0.4796;1.4896598138809205
95;0.481;1.4819570951461791
96;0.4862;1.4751082782745362
97;0.4812;1.4686353912353516
98;0.4982;1.4476737756729126
99;0.5058;1.435670618057251
100;0.5102;1.4215553407669068
101;0.5108;1.4127233209609986
102;0.5158;1.3944113721847535
103;0.524;1.379096869468689
104;0.5324;1.3668893327713012
105;0.5344;1.3548267440795898
106;0.538;1.339283670425415
107;0.5482;1.328185302734375
108;0.5524;1.3175514707565308
109;0.5576;1.3043650875091553
110;0.566;1.2833955793380738
111;0.576;1.2712427253723144
112;0.5726;1.2567711353302002
113;0.5888;1.240003352165222
114;0.595;1.2157759809494018
115;0.607;1.2017577381134033
116;0.61;1.1884253282546997
117;0.6134;1.1683496141433716
118;0.622;1.1530778150558472
119;0.6288;1.139685447692871
120;0.636;1.119464955329895
121;0.6388;1.1046992359161376
122;0.6522;1.083917113304138
123;0.6492;1.070064908027649
124;0.664;1.0518958368301392
125;0.6688;1.030446578979492
126;0.6776;1.0155954494476318
127;0.689;1.001079439163208
128;0.6946;0.9807660255432129
129;0.7016;0.9648489031791687
130;0.709;0.9470315389633178
131;0.7158;0.9249014182090759
132;0.723;0.9098472528457642
133;0.7346;0.8957518248558044
134;0.7408;0.8755351815223694
135;0.7404;0.8650663094520569
136;0.748;0.8488640985488891
137;0.7642;0.8248985371589661
138;0.7636;0.8148264293670654
139;0.7718;0.8036632027626037
140;0.7692;0.7878583369255066
141;0.784;0.7719515399932861
142;0.7892;0.7459210586547852
143;0.8024;0.7283318157196045
144;0.816;0.7075547213554383
145;0.822;0.6910365376472473
146;0.825;0.6760597896575927
147;0.8376;0.6605552520751953
148;0.8374;0.6485522980690003
149;0.8414;0.6348963866233825
150;0.8448;0.6200291228294372
151;0.8528;0.6107269983291626
152;0.8596;0.591065950870514
153;0.8714;0.5734844193458557
154;0.8748;0.5599999175071716
155;0.878;0.5490381336212158
156;0.8826;0.5364908356666565
157;0.8868;0.5259930505752564
158;0.8872;0.5163165249824524
159;0.888;0.5051915640830994
160;0.9026;0.48892746996879577
161;0.907;0.47813506960868835
162;0.9092;0.4600892763137817
163;0.915;0.4490715434551239
